period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,gross.generation,gross.generation.units
2017-01,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,135.3,megawatthours
2014-04,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,255.79,megawatthours
2014-10,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,243.88,megawatthours
2014-12,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,133.76,megawatthours
2014-08,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,325.15,megawatthours
2016-12,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,273.48,megawatthours
2014-11,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,198.84,megawatthours
2014-09,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,257.62,megawatthours
2013-10,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,272.69,megawatthours
2013-09,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,262.77,megawatthours
2013-11,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,187.22,megawatthours
2013-12,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,187.36,megawatthours
2014-07,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,266.96,megawatthours
2013-08,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,284.11,megawatthours
2016-04,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,191.23,megawatthours
2017-03,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,261.4,megawatthours
2013-05,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,292.6,megawatthours
2014-02,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,219.24,megawatthours
2013-06,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,298.53,megawatthours
2013-01,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,172.54,megawatthours
2014-01,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,193.85,megawatthours
2014-06,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,318.76,megawatthours
2013-07,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,285.13,megawatthours
2014-03,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,274.44,megawatthours
2013-03,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,244.5,megawatthours
2013-02,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,197.2,megawatthours
2013-04,57141,RV CSU Power LLC,SUN,Solar,CO,Colorado,PV,275.31,megawatthours
2019-08,57141,RV CSU Power LLC,SUN,Solar,CO,Colorado,PV,335.35,megawatthours
2019-09,57141,RV CSU Power LLC,SUN,Solar,CO,Colorado,PV,276.82,megawatthours
2019-07,57141,RV CSU Power LLC,SUN,Solar,CO,Colorado,PV,329.42,megawatthours
2015-12,57141,RV CSU Power LLC,SUN,Solar,CO,Colorado,PV,277.91,megawatthours
2016-06,57141,RV CSU Power LLC,SUN,Solar,CO,Colorado,PV,367.57,megawatthours
2016-05,57141,RV CSU Power LLC,SUN,Solar,CO,Colorado,PV,349.44,megawatthours
2015-11,57141,RV CSU Power LLC,SUN,Solar,CO,Colorado,PV,209.73,megawatthours
2014-05,57141,RV CSU Power LLC,SUN,Solar,CO,Colorado,PV,280.6,megawatthours
2020-06,57141,RV CSU Power LLC,SUN,Solar,CO,Colorado,PV,335.41,megawatthours
