period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,gross.generation,gross.generation.units,sector,entityid,entityName,balancing_authority_code,balancing.authority.name,status,gen_cap,operating.year.month,geometry,intersection,geoid,long,lat
2020-11,63277,Mtn. Solar 2,SUN,Solar,CO,Colorado,PV,217.16,megawatthours,ipp-non-chp,60531,Standard Solar,PSCO,Public Service Company of Colorado,OP,1.5,2019-09,-104.59054|39.766772,10256,08001008401,-104.59054,39.766772
2020-11,63278,CO LI CSG 1 - Kamerra,SUN,Solar,CO,Colorado,PV,219.66,megawatthours,ipp-non-chp,60531,Standard Solar,PSCO,Public Service Company of Colorado,OP,1.5,2019-10,-104.583391|39.784879,10256,08001008401,-104.583391,39.784879
2020-10,63379,Mtn. Solar 3 CSG,SUN,Solar,CO,Colorado,PV,241.72,megawatthours,ipp-non-chp,60531,Standard Solar,PSCO,Public Service Company of Colorado,OP,1.5,2020-01,-103.61911|40.280904,10593,08087000800,-103.61911,40.280904
2020-10,63536,Amazon DEN2 Solar Project,SUN,Solar,CO,Colorado,PV,119.45,megawatthours,ipp-non-chp,63259,Solar Star Prime 1 LLC,PSCO,Public Service Company of Colorado,OP,1.2,2019-10,-104.75|39.75,10246,08001008353,-104.75,39.75
2020-10,63586,SR Kersey II,SUN,Solar,CO,Colorado,PV,147.19,megawatthours,ipp-non-chp,63282,"SR Kersey II, LLC",WACM,Western Area Power Administration - Rocky Mountain Region,OP,1,2019-12,-104.554038|40.386223,10550,08123001600,-104.554038,40.386223
2020-10,63587,SR Skylark C,SUN,Solar,CO,Colorado,PV,157.47,megawatthours,ipp-non-chp,63283,"SR Skylark C, LLC",WACM,Western Area Power Administration - Rocky Mountain Region,OP,1.1,2019-12,-104.89577|40.575118,10541,08123002208,-104.89577,40.575118
2020-10,63681,Oak Leaf Solar XXXIII LLC (Lantz),SUN,Solar,CO,Colorado,PV,256.49,megawatthours,ipp-non-chp,60025,Greenbacker Renewable Energy Corporation,PSCO,Public Service Company of Colorado,OP,3,2020-01,-106.0753|38.5357,10073,08015000200,-106.0753,38.5357
2020-10,63722,Rawhide Prairie Solar Hybrid,SUN,Solar,CO,Colorado,PV,0,megawatthours,,,,,,,,,|,,,,
2020-10,63753,"Platteville Solar CSG, LLC",SUN,Solar,CO,Colorado,PV,195.49,megawatthours,ipp-non-chp,60025,Greenbacker Renewable Energy Corporation,PSCO,Public Service Company of Colorado,OP,1.3,2020-01,-104.77471|40.22833,10551,08123001800,-104.77471,40.22833
2020-10,63869,IBM Solar,SUN,Solar,CO,Colorado,PV,1063.44,megawatthours,ipp-non-chp,60293,"DG Colorado Solar, LLC",PSCO,Public Service Company of Colorado,OP,8.1,2019-07,-105.244892|40.038266,10750,08013012203,-105.244892,40.038266
